# Resultados del experimento cliente-servidor - EJ 4B
Host: 192.168.56.10, Puerto: 8080

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| CLIENTE:: | 10 | 0.019789 | 0.002146 |  |
| [PROMEDIO - FINAL] CLIENTE [cantidad_bytes, promedio write, promedio read]:: | 10 | 0.044549 | 581.955731 |

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| ------ | -------------- | ----------------- | ---------------- | --------- |
| CLIENTE:: | 100 | 1.062870 | 5.005121 | OK |
| CLIENTE:: | 100 | 0.113964 | 2.140999 | OK |
| CLIENTE:: | 100 | 0.072956 | 1.988888 | OK |
| CLIENTE:: | 100 | 0.095129 | 2.102852 | OK |
| CLIENTE:: | 100 | 0.113964 | 2.229929 | OK |
| CLIENTE:: | 100 | 0.084877 | 2.146006 | OK |
| CLIENTE:: | 100 | 0.068903 | 1.856089 | OK |
| CLIENTE:: | 100 | 0.091791 | 2.097130 | OK |
| CLIENTE:: | 100 | 0.071049 | 1.873970 | OK |
| CLIENTE:: | 100 | 0.082970 | 2.552032 | OK |
| CLIENTE:: | 100 | 0.072956 | 2.140999 | OK |
| CLIENTE:: | 100 | 0.103951 | 2.993822 | OK |
| CLIENTE:: | 100 | 0.077963 | 2.369881 | OK |
| CLIENTE:: | 100 | 0.072956 | 2.207041 | OK |
| CLIENTE:: | 100 | 0.067949 | 2.247095 | OK |
| CLIENTE:: | 100 | 0.103951 | 2.269030 | OK |
| CLIENTE:: | 100 | 0.076056 | 3.382921 | OK |
| CLIENTE:: | 100 | 0.074148 | 1.937866 | OK |
| CLIENTE:: | 100 | 0.067949 | 2.619028 | OK |
| CLIENTE:: | 100 | 0.072002 | 1.924038 | OK |
| CLIENTE:: | 100 | 0.159979 | 2.944946 | OK |
| CLIENTE:: | 100 | 0.072956 | 2.163887 | OK |
| CLIENTE:: | 100 | 0.085115 | 2.284050 | OK |
| CLIENTE:: | 100 | 0.174999 | 2.143860 | OK |
| CLIENTE:: | 100 | 0.591993 | 2.293825 | OK |
| CLIENTE:: | 100 | 0.068903 | 2.036095 | OK |
| CLIENTE:: | 100 | 0.091076 | 2.044916 | OK |
| CLIENTE:: | 100 | 0.078917 | 1.949072 | OK |
| CLIENTE:: | 100 | 0.200033 | 2.415895 | OK |
| CLIENTE:: | 100 | 0.068903 | 2.149105 | OK |
| CLIENTE:: | 100 | 0.092030 | 2.514839 | OK |
| CLIENTE:: | 100 | 0.069141 | 2.349854 | OK |
| CLIENTE:: | 100 | 0.102997 | 1.960993 | OK |
| CLIENTE:: | 100 | 0.065804 | 2.382994 | OK |
| CLIENTE:: | 100 | 0.097036 | 2.188921 | OK |
| CLIENTE:: | 100 | 0.072002 | 2.504110 | OK |
| CLIENTE:: | 100 | 0.065088 | 1.961946 | OK |
| CLIENTE:: | 100 | 0.074863 | 1.940966 | OK |
| CLIENTE:: | 100 | 0.093937 | 2.074003 | OK |
| CLIENTE:: | 100 | 0.066996 | 2.111912 | OK |
| CLIENTE:: | 100 | 0.072956 | 1.954079 | OK |
| CLIENTE:: | 100 | 0.091076 | 2.093077 | OK |
| CLIENTE:: | 100 | 0.065088 | 1.826048 | OK |
| CLIENTE:: | 100 | 0.064135 | 2.203941 | OK |
| CLIENTE:: | 100 | 0.079155 | 2.032995 | OK |
| CLIENTE:: | 100 | 0.066996 | 2.449036 | OK |
| CLIENTE:: | 100 | 0.058889 | 2.130985 | OK |
| CLIENTE:: | 100 | 0.058889 | 2.791166 | OK |
| CLIENTE:: | 100 | 0.070810 | 2.015114 | OK |
| CLIENTE:: | 100 | 0.061989 | 1.868010 | OK |
| CLIENTE:: | 100 | 0.085115 | 1.971960 | OK |
| CLIENTE:: | 100 | 0.067949 | 2.017021 | OK |
| CLIENTE:: | 100 | 0.072002 | 2.269030 | OK |
| CLIENTE:: | 100 | 0.064850 | 2.001047 | OK |
| CLIENTE:: | 100 | 0.065088 | 2.198935 | OK |
| CLIENTE:: | 100 | 0.098944 | 1.887083 | OK |
| CLIENTE:: | 100 | 0.076056 | 2.119780 | OK |
| CLIENTE:: | 100 | 0.070095 | 1.912117 | OK |
| CLIENTE:: | 100 | 0.078917 | 2.264023 | OK |
| CLIENTE:: | 100 | 0.124216 | 2.039909 | OK |
| CLIENTE:: | 100 | 0.065088 | 2.950907 | OK |
| CLIENTE:: | 100 | 0.073910 | 2.267122 | OK |
| CLIENTE:: | 100 | 0.069857 | 2.271175 | OK |
| CLIENTE:: | 100 | 0.092983 | 1.807928 | OK |
| CLIENTE:: | 100 | 0.096083 | 2.299070 | OK |
| CLIENTE:: | 100 | 0.096798 | 2.214193 | OK |
| CLIENTE:: | 100 | 0.105143 | 2.218962 | OK |
| CLIENTE:: | 100 | 0.071049 | 2.444983 | OK |
| CLIENTE:: | 100 | 0.062943 | 1.993895 | OK |
| CLIENTE:: | 100 | 0.061989 | 2.351046 | OK |
| CLIENTE:: | 100 | 0.070810 | 2.660990 | OK |
| CLIENTE:: | 100 | 0.068188 | 2.015829 | OK |
| CLIENTE:: | 100 | 0.067949 | 2.789021 | OK |
| CLIENTE:: | 100 | 0.127077 | 2.301931 | OK |
| CLIENTE:: | 100 | 0.093937 | 2.064943 | OK |
| CLIENTE:: | 100 | 0.081062 | 2.486944 | OK |
| CLIENTE:: | 100 | 0.133991 | 1.867056 | OK |
| CLIENTE:: | 100 | 0.063181 | 2.106905 | OK |
| CLIENTE:: | 100 | 0.089169 | 1.969814 | OK |
| CLIENTE:: | 100 | 0.092030 | 2.413034 | OK |
| CLIENTE:: | 100 | 0.068903 | 2.357960 | OK |
| CLIENTE:: | 100 | 0.113964 | 2.072096 | OK |
| CLIENTE:: | 100 | 0.092983 | 1.878977 | OK |
| CLIENTE:: | 100 | 0.082016 | 1.991034 | OK |
| CLIENTE:: | 100 | 0.079870 | 2.593040 | OK |
| CLIENTE:: | 100 | 0.061035 | 1.842976 | OK |
| CLIENTE:: | 100 | 0.113010 | 2.426147 | OK |
| CLIENTE:: | 100 | 0.066996 | 1.985073 | OK |
| CLIENTE:: | 100 | 0.185013 | 2.269983 | OK |
| CLIENTE:: | 100 | 0.082016 | 2.071857 | OK |
| CLIENTE:: | 100 | 0.065088 | 2.168894 | OK |
| CLIENTE:: | 100 | 0.090837 | 1.999140 | OK |
| CLIENTE:: | 100 | 0.072956 | 2.660990 | OK |
| CLIENTE:: | 100 | 0.086069 | 1.929045 | OK |
| CLIENTE:: | 100 | 0.083923 | 2.394915 | OK |
| CLIENTE:: | 100 | 0.087023 | 2.343893 | OK |
| CLIENTE:: | 100 | 0.060081 | 2.075911 | OK |
| CLIENTE:: | 100 | 0.098944 | 2.066851 | OK |
| CLIENTE:: | 100 | 0.070095 | 2.784014 | OK |
| CLIENTE:: | 100 | 0.084162 | 1.940012 | OK |
| [PROMEDIO - FINAL] CLIENTE [cantidad_bytes, promedio write, promedio read]:: | 100 | 0.099626 | 2.238948 |

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| ------ | -------------- | ----------------- | ---------------- | --------- |
| CLIENTE:: | 1000 | 0.560999 | 7.853031 | OK |
| CLIENTE:: | 1000 | 0.046015 | 2.439022 | OK |
| CLIENTE:: | 1000 | 0.178814 | 3.345013 | OK |
| CLIENTE:: | 1000 | 0.093937 | 2.676010 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.206087 | OK |
| CLIENTE:: | 1000 | 0.070095 | 2.470016 | OK |
| CLIENTE:: | 1000 | 0.091076 | 2.280951 | OK |
| CLIENTE:: | 1000 | 0.093937 | 2.346992 | OK |
| CLIENTE:: | 1000 | 0.223875 | 2.143145 | OK |
| CLIENTE:: | 1000 | 0.082970 | 2.228975 | OK |
| CLIENTE:: | 1000 | 0.078917 | 2.124071 | OK |
